,Company,Price,Symbol,Price (Intraday),Flag
0,APPLE INC.,147.325,AAPL,142,Mega
1,ALPHABET INC.,2847.13,GOOGL,2747.08,Mega
2,FACEBOOK INC,368.68,FB,333.64,Mega
3,ADOBE INC.,655.09,ADBE,870,Mega
4,"CISCO SYSTEMS, INC.",57.87,CSCO,253.8,Mega
5,INTEL CORPORATION,54.785,INTC,87.86,Mega
6,BROADCOM INC.,508.865,AVGO,344.58,Mega
7,INTUIT INC.,565.275,INTU,138.17,Mega
8,"ADVANCED MICRO DEVICES,..",104.39,AMD,646.16,Mega
9,"APPLIED MATERIALS, INC.",139.39,AMAT,104.54,Mega
10,INTERNATIONAL BUSINESS ..,136.88,IBM,142.36,Mega
11,"ANALOG DEVICES, INC.",173.945,ADI,174.08,Large
12,LAM RESEARCH CORPORATION.,605.115,LRCX,611.5,Large
13,"EQUINIX, INC. (REIT)",840.175,EQIX,762.32,Large
14,"AUTODESK, INC.",282.31,ADSK,286.62,Large
15,KLA CORPORATION,359.885,KLAC,367.34,Large
16,"MARVELL TECHNOLOGY, INC..",62.36,MRVL,62.46,Large
17,"FORTINET, INC.",301.235,FTNT,301.53,Large
18,"CADENCE DESIGN SYSTEMS,..",166.42,CDNS,167.54,Large
19,"L3HARRIS TECHNOLOGIES, ..",229.13,LHX,226.87,Large
20,COGNIZANT TECHNOLOGY SO..,76.17,CTSH,76.48,Large
21,CORNING INCORPORATED,38.485,GLW,38.64,Large
22,GARMIN LTD.,168.36,GRMN,169.13,Large
23,"ANSYS, INC.",370.855,ANSS,372.75,Large
24,HP INC.,27.685,HPQ,27.95,Large
25,"GARTNER, INC.",314.385,IT,316.97,Large
26,CERNER CORPORATION,74.57,CERN,70.62,Large
27,"AKAMAI TECHNOLOGIES, IN..",111.44,AKAM,111.94,Large
28,"CITRIX SYSTEMS, INC.",112.105,CTXS,112.47,Large
29,"LEIDOS HOLDINGS, INC.",95.475,LDOS,94.14,Large
30,FAIR ISAAC CORPORATION,430.53,FICO,440.5,Large
31,"F5 NETWORKS, INC.",204.095,FFIV,208.31,Large
32,"CREE, INC.",86.445,CREE,86.94,Large
33,"GUIDEWIRE SOFTWARE, INC..",119.61,GWRE,119.51,Mid
