STOCK,DATE,PRICE
AAPL,10/6/20 16:00,113.16
AAPL,10/7/20 16:00,115.08
AAPL,10/8/20 16:00,114.97
AAPL,10/9/20 16:00,116.97
AAPL,10/12/20 16:00,124.4
AAPL,10/13/20 16:00,121.1
AAPL,10/14/20 16:00,121.19
AAPL,10/15/20 16:00,120.71
AAPL,10/16/20 16:00,119.02
AAPL,10/19/20 16:00,115.98
AAPL,10/20/20 16:00,117.51
AAPL,10/21/20 16:00,116.87
AAPL,10/22/20 16:00,115.75
AAPL,10/23/20 16:00,115.04
AAPL,10/26/20 16:00,115.05
AAPL,10/27/20 16:00,116.6
AAPL,10/28/20 16:00,111.2
AAPL,10/29/20 16:00,115.32
AAPL,10/30/20 16:00,108.86
AAPL,11/2/20 16:00,108.77
AAPL,11/3/20 16:00,110.44
AAPL,11/4/20 16:00,114.95
AAPL,11/5/20 16:00,119.03
AAPL,11/6/20 16:00,118.69
AAPL,11/9/20 16:00,116.32
AAPL,11/10/20 16:00,115.97
AAPL,11/11/20 16:00,119.49
AAPL,11/12/20 16:00,119.21
AAPL,11/13/20 16:00,119.26
AAPL,11/16/20 16:00,120.3
AAPL,11/17/20 16:00,119.39
AAPL,11/18/20 16:00,118.03
AAPL,11/19/20 16:00,118.64
AAPL,11/20/20 16:00,117.34
AAPL,11/23/20 16:00,113.85
AAPL,11/24/20 16:00,115.17
AAPL,11/25/20 16:00,116.03
AAPL,11/27/20 13:00,116.59
AAPL,11/30/20 16:00,119.05
AAPL,12/1/20 16:00,122.72
AAPL,12/2/20 16:00,123.08
AAPL,12/3/20 16:00,122.94
AAPL,12/4/20 16:00,122.25
AAPL,12/7/20 16:00,123.75
AAPL,12/8/20 16:00,124.38
AAPL,12/9/20 16:00,121.78
AAPL,12/10/20 16:00,123.24
AAPL,12/11/20 16:00,122.41
AAPL,12/14/20 16:00,121.78
AAPL,12/15/20 16:00,127.88
AAPL,12/16/20 16:00,127.81
AAPL,12/17/20 16:00,128.7
AAPL,12/18/20 16:00,126.66
AAPL,12/21/20 16:00,128.23
AAPL,12/22/20 16:00,131.88
AAPL,12/23/20 16:00,130.96
AAPL,12/24/20 13:00,131.97
AAPL,12/28/20 16:00,136.69
AAPL,12/29/20 16:00,134.87
AAPL,12/30/20 16:00,133.72
AAPL,12/31/20 16:00,132.69
AAPL,1/4/21 16:00,129.41
AAPL,1/5/21 16:00,131.01
AAPL,1/6/21 16:00,126.6
AAPL,1/7/21 16:00,130.92
AAPL,1/8/21 16:00,132.05
AAPL,1/11/21 16:00,128.98
AAPL,1/12/21 16:00,128.8
AAPL,1/13/21 16:00,130.89
AAPL,1/14/21 16:00,128.91
AAPL,1/15/21 16:00,127.14
AAPL,1/19/21 16:00,127.83
AAPL,1/20/21 16:00,132.03
AAPL,1/21/21 16:00,136.87
AAPL,1/22/21 16:00,139.07
AAPL,1/25/21 16:00,142.92
AAPL,1/26/21 16:00,143.16
AAPL,1/27/21 16:00,142.06
AAPL,1/28/21 16:00,137.09
AAPL,1/29/21 16:00,131.96
AAPL,2/1/21 16:00,134.14
AAPL,2/2/21 16:00,134.99
AAPL,2/3/21 16:00,133.94
AAPL,2/4/21 16:00,137.39
AAPL,2/5/21 16:00,136.76
AAPL,2/8/21 16:00,136.91
AAPL,2/9/21 16:00,136.01
AAPL,2/10/21 16:00,135.39
AAPL,2/11/21 16:00,135.13
AAPL,2/12/21 16:00,135.37
AAPL,2/16/21 16:00,133.19
AAPL,2/17/21 16:00,130.84
AAPL,2/18/21 16:00,129.71
AAPL,2/19/21 16:00,129.87
AAPL,2/22/21 16:00,126
AAPL,2/23/21 16:00,125.86
AAPL,2/24/21 16:00,125.35
AAPL,2/25/21 16:00,120.99
AAPL,2/26/21 16:00,121.26
AAPL,3/1/21 16:00,127.79
AAPL,3/2/21 16:00,125.12
AAPL,3/3/21 16:00,122.06
AAPL,3/4/21 16:00,120.13
AAPL,3/5/21 16:00,121.42
AAPL,3/8/21 16:00,116.36
AAPL,3/9/21 16:00,121.09
AAPL,3/10/21 16:00,119.98
AAPL,3/11/21 16:00,121.96
AAPL,3/12/21 16:00,121.03
AAPL,3/15/21 16:00,123.99
AAPL,3/16/21 16:00,125.57
AAPL,3/17/21 16:00,124.76
AAPL,3/18/21 16:00,120.53
AAPL,3/19/21 16:00,119.99
AAPL,3/22/21 16:00,123.39
AAPL,3/23/21 16:00,122.54
AAPL,3/24/21 16:00,120.09
AAPL,3/25/21 16:00,120.59
AAPL,3/26/21 16:00,121.21
AAPL,3/29/21 16:00,121.39
AAPL,3/30/21 16:00,119.9
AAPL,3/31/21 16:00,122.15
AAPL,4/1/21 16:00,123
AAPL,4/5/21 16:00,125.9
AAPL,4/6/21 16:00,126.21
AAPL,4/7/21 16:00,127.9
AAPL,4/8/21 16:00,130.36
AAPL,4/9/21 16:00,133
AAPL,4/12/21 16:00,131.24
AAPL,4/13/21 16:00,134.43
AAPL,4/14/21 16:00,132.03
AAPL,4/15/21 16:00,134.5
AAPL,4/16/21 16:00,134.16
AAPL,4/19/21 16:00,134.84
AAPL,4/20/21 16:00,133.11
AAPL,4/21/21 16:00,133.5
AAPL,4/22/21 16:00,131.94
AAPL,4/23/21 16:00,134.32
AAPL,4/26/21 16:00,134.72
AAPL,4/27/21 16:00,134.39
AAPL,4/28/21 16:00,133.58
AAPL,4/29/21 16:00,133.48
AAPL,4/30/21 16:00,131.46
AAPL,5/3/21 16:00,132.54
AAPL,5/4/21 16:00,127.85
AAPL,5/5/21 16:00,128.1
AAPL,5/6/21 16:00,129.74
AAPL,5/7/21 16:00,130.21
AAPL,5/10/21 16:00,126.85
AAPL,5/11/21 16:00,125.91
AAPL,5/12/21 16:00,122.77
AAPL,5/13/21 16:00,124.97
AAPL,5/14/21 16:00,127.45
AAPL,5/17/21 16:00,126.27
AAPL,5/18/21 16:00,124.85
AAPL,5/19/21 16:00,124.69
AAPL,5/20/21 16:00,127.31
AAPL,5/21/21 16:00,125.43
AAPL,5/24/21 16:00,127.1
AAPL,5/25/21 16:00,126.9
AAPL,5/26/21 16:00,126.85
AAPL,5/27/21 16:00,125.28
AAPL,5/28/21 16:00,124.61
AAPL,6/1/21 16:00,124.28
AAPL,6/2/21 16:00,125.06
AAPL,6/3/21 16:00,123.54
AAPL,6/4/21 16:00,125.89
AAPL,6/7/21 16:00,125.9
AAPL,6/8/21 16:00,126.74
AAPL,6/9/21 16:00,127.13
AAPL,6/10/21 16:00,126.11
AAPL,6/11/21 16:00,127.35
AAPL,6/14/21 16:00,130.48
AAPL,6/15/21 16:00,129.64
AAPL,6/16/21 16:00,130.15
AAPL,6/17/21 16:00,131.79
AAPL,6/18/21 16:00,130.46
AAPL,6/21/21 16:00,132.3
AAPL,6/22/21 16:00,133.98
AAPL,6/23/21 16:00,133.7
AAPL,6/24/21 16:00,133.41
AAPL,6/25/21 16:00,133.11
