Stock,Company_Name,Market Capitalization,5 Year Average Dividend Yield %,PEG Ratio,PE Ratio,Beta 5Y Monthly,Book Value Per Share,price
AAPL,APPLE INC.,2.33E+12,1.24,1.93,27.56,1.22,3.88,142.9
GOOGL,ALPHABET INC.,1.81E+12,0,1.35,29.52,1.03,355.83,2795.71
FB,FACEBOOK INC,9.39E+11,0,0.86,24.7,1.32,48.91,330.05
ADBE,ADOBE INC.,2.71E+11,0,2.07,47.21,1.03,30.28,576.86
CSCO,"CISCO SYSTEMS, INC.",2.31E+11,2.98,2.83,21.88,0.92,9.79,55.08
INTC,INTEL CORPORATION,2.19E+11,2.49,2.09,11.99,0.59,21,53.81
AVGO,BROADCOM INC.,2.00E+11,2.74,1.11,35.96,0.94,59.08,492.85
INTU,INTUIT INC.,1.46E+11,0.77,3.04,70.55,1.03,36.12,531.12
AMD,"ADVANCED MICRO DEVICES,..",1.26E+11,0,1.02,36.75,2,5.82,105.06
AMAT,"APPLIED MATERIALS, INC.",1.16E+11,1.23,1.01,22.27,1.43,13.36,126.22
IBM,INTERNATIONAL BUSINESS ..,1.05E+11,4.47,1.49,24.6,1.18,24.48,143.22
ADI,"ANALOG DEVICES, INC.",88870000000,1.96,1.79,36.19,1.17,33.31,168.62
LRCX,LAM RESEARCH CORPORATION.,78270000000,1.41,1.38,20.67,1.26,42.3,550.16
EQIX,"EQUINIX, INC. (REIT)",68220000000,1.77,3.67,201.08,0.33,118.62,750.96
ADSK,"AUTODESK, INC.",60670000000,0,1.48,46.62,1.34,6.04,278.94
KLAC,KLA CORPORATION,50340000000,2.04,1.81,24.77,1.19,22.11,326.05
MRVL,"MARVELL TECHNOLOGY, INC..",48920000000,1.04,1.62,22.15,1.06,17.9,64.62
FTNT,"FORTINET, INC.",48750000000,0,4.04,96.61,1.14,6.43,307.17
CDNS,"CADENCE DESIGN SYSTEMS,..",41580000000,0,4.29,61.81,1.05,9.09,150.12
LHX,"L3HARRIS TECHNOLOGIES, ..",44680000000,1.66,1.17,31.05,0.89,98.5,233.17
CTSH,COGNIZANT TECHNOLOGY SO..,39300000000,0,1.38,23.63,1.12,21.34,75.49
GLW,CORNING INCORPORATED,31060000000,2.4,0.85,33.37,1.16,14.27,37.16
GRMN,GARMIN LTD.,30250000000,2.89,2.09,25.57,1.04,29.04,155.46
ANSS,"ANSYS, INC.",29780000000,0,3.47,65.39,1.23,48.74,345.67
HPQ,HP INC.,32620000000,2.95,0.91,8.79,1.04,-3.42,27.89
IT,"GARTNER, INC.",26050000000,0,3.39,48.21,1.57,6.27,304.1
CERN,CERNER CORPORATION,20670000000,0,4.16,30.68,0.74,13.44,71.07
AKAM,"AKAMAI TECHNOLOGIES, IN..",16800000000,0,1.37,29.4,0.47,27.46,102.19
CTXS,"CITRIX SYSTEMS, INC.",13230000000,0,3.51,36.84,0.04,2.36,98.32
LDOS,"LEIDOS HOLDINGS, INC.",13650000000,1.82,0.94,18.83,0.89,28.87,98.88
FICO,FAIR ISAAC CORPORATION,11230000000,0,4.36,32.02,1.25,4.4,400.96
FFIV,"F5 NETWORKS, INC.",12020000000,0,1,41.52,1.03,36.35,200.77
CREE,"CREE, INC.",9610000000,0,-0.41,26.56,1.44,18.29,79.12
GWRE,"GUIDEWIRE SOFTWARE, INC..",9530000000,0,5.91,242.55,1.28,18.57,118.77
DOX,AMDOCS LIMITED,9720000000,1.62,1.56,14.35,0.77,28.68,77.83
JNPR,"JUNIPER NETWORKS, INC.",9130000000,2.52,1.19,45.29,0.84,13.4,28.69
AZPN,"ASPEN TECHNOLOGY, INC.",8480000000,0,3.08,27.08,1.24,11.79,141.55
CIEN,CIENA CORPORATION,8050000000,0,1.24,17.61,0.86,18.85,52.6
JCOM,"J2 GLOBAL, INC.",6550000000,0,1.82,30.15,1.03,28.95,142.84
CACI,CACI INTERNATIONAL INC,6250000000,0,2.44,14.47,1,113.15,274.8
ALTR,ALTAIR ENGINEERING INC.,5600000000,0,0,2.34,1.5,5.29,70.69
CRUS,"CIRRUS LOGIC, INC.",4560000000,0,7.83,21.94,0.87,24.44,80.56
